facility_name,facility_type,province,province_id,district,district_id,sector,sector_id,cell,cell_id,village,village_id,latitude,longitude,phone,email,website,opening_hours,address,google_rating,google_reviews,is_efiche_client,client_status,source,source_id,osm_id,matched,data_quality,verification_status,timestamp
BIHARAGU HP,Health Post,Southern Province,2.0,,3.0,,406.0,,2090.0,,14116.0,-2.418392,30.140325,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_0,,False,Verified,Confirmed,2026-08-27T15:29:52.479985
KAMANYANA HP,Health Post,City of Kigali,1.0,,4.0,,288.0,,1484.0,,9852.0,-1.347615,29.7434633,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_1,,False,Verified,Confirmed,2026-08-27T15:29:52.480068
Nyagashanga HP,Health Post,Southern Province,2.0,,19.0,,340.0,,1751.0,,11495.0,-1.440958,30.435383,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_2,,False,Verified,Confirmed,2026-08-27T15:29:52.480117
HP KABUMBWE BUYE,Health Post,City of Kigali,1.0,,9.0,,52.0,,237.0,,1774.0,-2.477274,29.947534,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_3,,False,Verified,Confirmed,2026-08-27T15:29:52.480162
KIRINGA HP,Health Post,Western Province,3.0,,4.0,,293.0,,1503.0,,9999.0,-1.365308,29.7659092,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_4,,False,Verified,Confirmed,2026-08-27T15:29:52.480205
Rwimiyaga HP,Health Post,Southern Province,2.0,,19.0,,350.0,,1829.0,,11940.0,-1.254842,30.41238,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_5,,False,Verified,Confirmed,2026-08-27T15:29:52.480273
BWIZA HP,Health Post,Southern Province,2.0,Kicukiro,13.0,,369.0,,1919.0,,12686.0,-1.9518393,30.5212279,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_6,,False,Verified,Confirmed,2026-08-27T15:29:52.480325
Gako HP,Health Post,Estern Province,5.0,Nyanza,21.0,,224.0,,1184.0,,21333.0,-2.3420326,29.0939898,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_7,,False,Verified,Confirmed,2026-08-27T15:29:52.480369
Kira Rwensheke HP,Health Post,Southern Province,2.0,,19.0,,338.0,,1737.0,,11411.0,-1.412027,30.194434,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_8,,False,Verified,Confirmed,2026-08-27T15:29:52.480411
RWASA HP,Health Post,Western Province,3.0,,4.0,,291.0,,1497.0,,9960.0,-1.5101282,29.931093,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_9,,False,Verified,Confirmed,2026-08-27T15:29:52.480458
Rwisirabo HP,Health Post,City of Kigali,1.0,,19.0,,340.0,,1755.0,,11520.0,-1.404959,30.390036,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_10,,False,Verified,Confirmed,2026-08-27T15:29:52.480498
RUHINGA HP,Health Post,Northern Province,4.0,Huye,24.0,,69.0,,323.0,,2332.0,-1.8989224,30.1373393,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_11,,False,Verified,Confirmed,2026-08-27T15:29:52.480537
DAHWE(GISAGARA) HP LTD,Health Post,City of Kigali,1.0,,9.0,,57.0,,261.0,,2004.0,-2.609213,29.86398,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_12,,False,Verified,Confirmed,2026-08-27T15:29:52.480575
KAGARAMA HP,Health Post,City of Kigali,1.0,Kamonyi,28.0,,212.0,,1125.0,,7376.0,-2.5373099,28.8897423,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_13,,False,Verified,Confirmed,2026-08-27T15:29:52.480614
Akagarama HP,Health Post,Southern Province,2.0,,16.0,,401.0,,2066.0,,13920.0,-2.156892,30.609297,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_15,,False,Verified,Confirmed,2026-08-27T15:29:52.480673
RUNAZI HP,Health Post,Northern Province,4.0,,9.0,,52.0,,240.0,,1807.0,-2.495657,29.906113,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_16,,False,Verified,Confirmed,2026-08-27T15:29:52.480725
RAMIRO HP,Health Post,Southern Province,2.0,,3.0,,404.0,,2084.0,,14071.0,-2.2507087,30.2175704,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_18,,False,Verified,Confirmed,2026-08-27T15:29:52.480769
HITAYEZU EM HP,Health Post,City of Kigali,1.0,,9.0,,52.0,,239.0,,1795.0,-2.527536,29.89522,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_19,,False,Verified,Confirmed,2026-08-27T15:29:52.480810
GIKUNDAMVURA HP,Health Post,Southern Province,2.0,,3.0,,416.0,,2140.0,,14550.0,-2.3109771,30.0837167,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_20,,False,Verified,Confirmed,2026-08-27T15:29:52.480849
BUSHENYA HP,Health Post,City of Kigali,1.0,,4.0,,286.0,,1472.0,,9736.0,-1.4761904,29.9683989,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_21,,False,Verified,Confirmed,2026-08-27T15:29:52.480888
RULINDO HP,Health Post,Southern Province,2.0,,3.0,,409.0,,2108.0,,14276.0,-2.1652754,30.0041323,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_22,,False,Verified,Confirmed,2026-08-27T15:29:52.480927
NYARWAMBU HP,Health Post,City of Kigali,1.0,,8.0,,309.0,,1574.0,,10497.0,-1.425332,30.0252815,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_23,,False,Verified,Confirmed,2026-08-27T15:29:52.480974
NYAGATOMA HP,Health Post,Southern Province,2.0,,19.0,,351.0,,1834.0,,11970.0,-1.3169848,30.213481,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_24,,False,Verified,Confirmed,2026-08-27T15:29:52.481018
Nyamiyonga HP,Health Post,Southern Province,2.0,,19.0,,346.0,,1790.0,,11749.0,-1.119218,30.390486,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_25,,False,Verified,Confirmed,2026-08-27T15:29:52.481057
Gikagati3 HP,Health Post,Southern Province,2.0,,19.0,,76.0,,1740.0,,11427.0,-1.379637,30.186175,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_26,,False,Verified,Confirmed,2026-08-27T15:29:52.481098
Mbare HP,Health Post,Southern Province,2.0,,19.0,,340.0,,1748.0,,11484.0,-1.365257,30.359798,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_27,,False,Verified,Confirmed,2026-08-27T15:29:52.481138
Nyakigando HP,Health Post,Southern Province,2.0,,19.0,,341.0,,1764.0,,11566.0,-1.454358,30.308237,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_28,,False,Verified,Confirmed,2026-08-27T15:29:52.481178
LA PROMESSE NTANGO HP,Health Post,City of Kigali,1.0,Nyanza,21.0,,231.0,,1221.0,,8095.0,-2.3544586,29.0316777,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_29,,False,Verified,Confirmed,2026-08-27T15:29:52.481216
NYANKURAZO HP,Health Post,Southern Province,2.0,,2.0,,380.0,,1971.0,,13158.0,-2.38206,30.7767956,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_30,,False,Verified,Confirmed,2026-08-27T15:29:52.481254
